posts,angry,fear,happy,neutral,sad,surprise
唉，真的好想去长沙玩，但一看这个天气，我就开始怀疑自己能不能好好享受旅行了。谁能理解我的心情😭 #旅行计划 #长沙,0.0,0.12,0.0,0.0,0.7,0.12
每次看见我喜欢的歌手发布新歌，我都会忍不住激动一整天！今天就是这样，毛不易的《牧马城市》依然让我沉浸其中🎶 #毛不易 #经典歌曲,0.0,0.0,0.89,0.0,0.0,0.07
终于买了梦寐以求的四格口红！虽然贵，但就是喜欢这个颜色！每次看到它我都会开心一整天💄 #购物心情 #四格口红,0.0,0.0,1.0,0.0,0.0,0.09
今天真的很累了，工作加小组作业让我完全提不起劲来，眼睛都快睁不开了。求个短暂的假期，来让我重新充电💤 #工作疲惫 #加班,0.16,0.06,0.09,0.0,0.89,0.0
终于拿到那个令我期待已久的offer！虽然经历了一番波折，但这一路走来真的觉得很值得。也要给自己一点奖励，好好犒劳一下自己👏 #职场生活 #新起点,0.0,0.0,1.0,0.0,0.0,0.0
听说昨天毛不易去参加了一场活动，看到现场的粉丝真的是太激动了，完全能感受到那种爱的力量！希望下次能有机会亲自去现场🎤 #毛不易 #演唱会,0.0,0.0,0.91,0.0,0.0,0.06
这两天真的很想吃好利来的新品，听说味道超级棒！太久没吃到这些甜点了，准备放开肚皮大快朵颐🎂 #好利来 #美味下午茶,0.0,0.0,0.95,0.0,0.0,0.07
真的佩服那些能在忙碌的工作和生活中找到平衡的人，我有时候就觉得自己永远做不好。努力加油，不要放弃！💪 #生活挑战 #努力工作,0.0,0.1,0.97,0.0,0.0,0.0
刚才看到有个朋友晒了自己拍的照片，真的是让人惊艳！我拍照拍得真心不好，真的很羡慕有这天赋的人📸 #摄影 #分享美好,0.0,0.0,0.89,0.0,0.0,0.09
刚去做了个针灸，原本是想调理肝火的，结果结果人家给我扎了个丰胸的针，我真的要笑死了😂 #小插曲 #针灸体验,0.0,0.07,0.56,0.12,0.1,0.27
今天真是一个充满挑战的一天，工作一大堆，会议不断，回到家已经没有力气思考了。怎么办啊，活得真累😩 #忙碌生活 #疲惫,0.21,0.06,0.06,0.0,0.81,0.0
终于做完了作业，真心觉得现在的学习任务有点重，老觉得时间不够用。希望自己能有更多时间去做自己喜欢的事情📚 #学生生活 #努力学习,0.0,0.06,0.95,0.0,0.14,0.0
今天跟室友聊了一会儿，发现彼此都有很多共同点，真是开心！这种友情真的是让我觉得生活更有色彩了👯‍♀️ #友谊 #室友,0.0,0.0,1.0,0.0,0.0,0.08
最近总是感觉自己做得不够好，想要改变自己，重新调整状态，提升自己的一切！我要加油💪 #自我提升 #生活目标,0.0,0.05,0.95,0.0,0.0,0.0
看见别人晒的旅行照，真的好羡慕！这次又没有能去旅行，感觉生活就这样在忙碌中被消耗掉了。下次一定要安排时间放松自己✈️ #旅行心情 #人生目标,0.0,0.09,0.82,0.0,0.19,0.05
看见大家都在晒自己和家人拍的合照，感觉自己的生活真是好幸福！爱我的家人，珍惜每一刻陪伴的时光👨‍👩‍👧‍👦 #家人 #温暖时光,0.07,0.0,1.0,0.0,0.0,0.0
今天忙了一整天，回家躺在床上才发现，原来最舒服的时光就是这样，简单而放松💤 #生活感悟 #放松时刻,0.0,0.0,0.91,0.06,0.0,0.17
好久没参加朋友的聚会了，今天终于有机会和大家一起出去玩，真的很开心！#朋友 #聚会时光,0.0,0.0,1.0,0.0,0.0,0.0
看到别人吃到自己喜欢的美食时，内心充满羡慕，希望自己也能尽快找到时间去大快朵颐！🍣 #美食 #吃货心态,0.0,0.0,0.87,0.08,0.0,0.0
每次看到熊梓淇的舞台表演，我都心情大好，真的很希望他能继续给我们带来更多惊艳的作品！🌟 #熊梓淇 #偶像时光,0.0,0.0,0.95,0.0,0.0,0.05
最近的天气越来越热了，居然开始想吃冰淇淋，清爽又甜美！🍦希望能早点去海边，感受那种夏天的味道！#夏日心情 #冰淇淋,0.0,0.0,0.81,0.0,0.0,0.1
终于下定决心开始减肥了，虽然过程很艰难，但想着能够穿上自己喜欢的衣服，还是很值得！🥗 #减肥计划 #生活目标,0.0,0.0,0.92,0.0,0.0,0.0
看到毛不易最近的造型真是帅爆了，心情瞬间被治愈，真的是迷上了他的每一个细节💘 #毛不易 #时尚穿搭,0.0,0.0,0.9,0.0,0.0,0.13
今天试了新的咖啡口味，真的超好喝！期待下次尝试更多不一样的口味，真的是咖啡控的我心中的天堂☕ #咖啡控 #生活趣事,0.0,0.0,0.93,0.0,0.11,0.08
难得的休息日，终于有时间静下来，听听喜欢的歌，看点电影，放松一下心情🍿 #周末时光 #生活平衡,0.0,0.0,0.95,0.0,0.0,0.0
一直在努力工作，可是也不能忘记放松自己，偶尔和朋友聚聚会，吃点好吃的，真的能让心情变好很多！🥳 #社交时光 #快乐生活,0.0,0.0,1.0,0.0,0.0,0.0
每次看到好吃的东西就想分享给朋友，真的很喜欢这种一起分享美好时光的感觉🍰 #分享时光 #美好生活,0.0,0.0,1.0,0.0,0.0,0.06
看着自己的进步，心里不禁涌起一股成就感！即使路途艰难，我知道坚持下去会有收获💪 #努力奋斗 #成就感,0.0,0.0,1.0,0.0,0.0,0.0
今天真的很想买一些喜欢的东西，可是钱包实在不允许，决定再忍忍，储蓄一下，等有机会再买心仪已久的单品💸 #购物欲望 #理智消费,0.08,0.0,0.67,0.13,0.35,0.0
好久没看综艺了，今天一打开电视看到了自己喜欢的节目，笑得差点肚子疼！真是放松的好时光😂 #综艺时光 #笑点,0.0,0.0,0.99,0.0,0.11,0.0
最近又开始读书了，每读一页都感觉自己在进步，真的很享受这样的时光📚 #阅读时间 #自我提升,0.0,0.0,0.99,0.0,0.0,0.0
看见别人去旅游总是特别羡慕，自己却只能窝在家里做工作，什么时候才能有时间好好放松一下呢？#旅游心情 #梦想,0.07,0.1,0.39,0.0,0.35,0.12
今天的天气真好，阳光明媚，心情也变得特别好，感叹大自然的美丽和生活的美好！🌞 #阳光心情 #自然美,0.0,0.0,1.0,0.0,0.0,0.0
