posts,angry,fear,happy,neutral,sad,surprise
哇！刚刚看到酷宝的精彩操作，真是又帅又稳！xyg的实力太强了，永远支持你们！#xyg加油#,0.0,0.0,1.0,0.0,0.0,0.0
今天真的是超级开心！看到小弟们的比赛，真的为他们骄傲！全力支持xyg，冲冲冲！！ #xyg家人们#,0.0,0.0,1.0,0.0,0.0,0.0
酷宝的生日快乐🎂🎉！感恩你给我们带来的每一场精彩比赛！一起加油，xyg永远的家人！#xyg家庭#,0.0,0.0,1.0,0.0,0.0,0.0
看到比赛的精彩瞬间，我简直要疯了！弟弟们的努力真的太值得骄傲了，继续冲啊！ #xyg永不放弃#,0.0,0.0,0.9,0.0,0.0,0.0
哇！今晚的比赛实在是太激烈了，看得我心跳加速！家人们，我们一起加油！ #xyg加油#,0.0,0.0,1.0,0.0,0.0,0.0
打完比赛看到弟弟们的每个小细节，心里真的充满了感动。xyg，真的像家一样温暖！ #xyg家人#,0.0,0.0,1.0,0.0,0.0,0.0
又来一波赛事预热！大家一起为xyg加油，期待今晚的比赛！让我们一起见证胜利！ #xyg战队#,0.0,0.0,0.94,0.08,0.0,0.0
今天继续守比赛！心情好激动，xyg真的是让人充满力量！弟弟们，赢定了！！ #xyg加油#,0.0,0.0,1.0,0.0,0.0,0.0
刚才在微博刷到酷宝的精彩操作！真的太帅了，xyg战队永远支持！#xyg家族#,0.0,0.0,1.0,0.0,0.0,0.0
家人们！今晚有新剧要追，快来给我推荐些好剧！需要一场大哭来释放情绪😭 #剧迷日常#,0.07,0.05,0.86,0.0,0.15,0.0
这么多天都没出去，终于决定出去吃一顿大餐！生活就是要给自己一点奖励！#放松时光#,0.0,0.0,1.0,0.0,0.0,0.0
家人们，我快要疯了！比赛太激烈，快来给我加油！xyg永远在我心中！！ #xyg家族加油#,0.1,0.0,0.95,0.0,0.0,0.0
明天就是酷宝的生日了！超级期待！🎂🎉 还准备了惊喜，弟弟们要给酷宝祝福哦！#xyg大家庭#,0.0,0.0,0.92,0.08,0.0,0.0
看到比赛的精彩瞬间，我简直要哭了！为xyg骄傲，大家一起加油！#xyg战队#,0.0,0.0,0.75,0.07,0.25,0.0
看比赛总是忍不住替选手们捏把汗，今天好紧张！不过，xyg一定能加油！#xyg必胜#,0.0,0.06,1.0,0.0,0.0,0.0
终于吃到了超好吃的午餐，太满足了！这才是生活的美好！#美食时间#,0.0,0.0,1.0,0.0,0.0,0.08
刚刚分享给朋友们我最喜欢的歌曲，大家也一起来听吧！好歌分享，让快乐更长久！ #好歌推荐#,0.07,0.0,0.8,0.22,0.07,0.0
看到了酷宝的操作，真的是太酷了！xyg的每一位选手都是我的骄傲！#xyg家族#,0.0,0.0,0.95,0.0,0.0,0.06
今天好累啊，但也很充实！工作和生活的平衡越来越好了，感觉自己渐渐适应了！#生活记录#,0.0,0.05,0.98,0.0,0.07,0.0
今天在商场看到一件衣服超好看，可是太贵了，纠结了好久，最后决定暂时不买！ #购物心情#,0.07,0.0,0.3,0.09,0.6,0.0
终于有时间看自己喜欢的剧了，真的是疗愈时刻！给自己放松一下吧！#放松时光#,0.0,0.0,1.0,0.0,0.0,0.0
看到家人们都在加油支持xyg，真的好感动！我们一起努力，肯定能成功！ #xyg加油#,0.0,0.1,1.0,0.0,0.0,0.0
小小的生活中的惊喜，今天收到了一份特别的礼物，真的是心里暖暖的！#心意满满#,0.1,0.0,1.0,0.0,0.0,0.0
哇！又见到了喜欢的偶像，真的好激动啊！每次见面都觉得好幸福！#追星快乐#,0.09,0.0,1.0,0.0,0.0,0.0
突然觉得，生活中的每一刻都值得记录，今天和家人一起吃了晚餐，真是温馨时光！#家庭聚餐#,0.0,0.0,0.99,0.0,0.0,0.09
今天去参加朋友的聚会，好久没见面了，大家聊得好开心！就是这种感觉最棒！#友情时光#,0.0,0.0,1.0,0.0,0.0,0.0
很久没去健身了，今天决定去跑步！感觉一身轻松，运动的力量真的是神奇！#健身日常#,0.0,0.0,0.9,0.0,0.0,0.19
最近很喜欢做手工，自己动手做的小物件特别有成就感，大家也试试吧！#手工创作#,0.07,0.0,0.82,0.13,0.06,0.0
跟朋友们一起出去吃饭，大家聊得好开心，突然发现这一刻好珍贵！#朋友时光#,0.0,0.0,0.9,0.0,0.08,0.08
今天花了一些时间整理房间，感觉自己变得更有条理了！生活真的是需要有序！#整理小确幸#,0.0,0.0,0.99,0.0,0.0,0.0
终于休息了一天，做了自己喜欢的事情，真是放松又充实的一天！#休闲时光#,0.0,0.0,1.0,0.0,0.0,0.0
看到弟弟们的精彩操作，真的为xyg骄傲！你们是最棒的，继续加油！#xyg战队#,0.0,0.0,1.0,0.0,0.0,0.0
晚上的聚会真是太开心了，大家互相分享了很多有趣的事情，笑得不行！#聚会时光#,0.0,0.0,1.0,0.0,0.0,0.0
今天在家看了电影，感觉自己完全进入了电影的世界，真是放松又享受！#电影时光#,0.0,0.0,0.94,0.09,0.0,0.09
又到了周末，准备去做一些自己喜欢的事，休息一下，充充电！#周末计划#,0.0,0.0,0.84,0.11,0.1,0.0
看到比赛，真是激动得不行！xyg的每一场都让人兴奋，大家一起加油！#xyg战队#,0.0,0.0,0.95,0.0,0.0,0.0
和朋友一起去旅行，真是太开心了！每次旅行都能收获好多美好的回忆！#旅行回忆#,0.0,0.0,1.0,0.0,0.0,0.0
今天去逛街，看到好多新衣服，好想买，但还是决定存钱等更好的机会！#购物计划#,0.0,0.0,0.87,0.07,0.15,0.06
生活中的小确幸，今天收到了朋友送的一个小礼物，真是太惊喜了！#礼物惊喜#,0.0,0.0,0.87,0.0,0.0,0.18
看完比赛真的心情激动到不行，xyg这次一定能够走得更远！#xyg加油#,0.0,0.0,1.0,0.0,0.0,0.0
又是一场好比赛，大家一起加油！每一次看到队友们的努力，都会觉得自己也要更加努力！#xyg家人们#,0.0,0.0,1.0,0.0,0.0,0.0
又是一个开心的周末，做自己喜欢的事，充实又愉快！#周末充实#,0.0,0.0,1.0,0.0,0.0,0.0
今天做了一个小改变，开始每天早上跑步，感觉一天的状态都变好了！#健康生活#,0.0,0.0,0.95,0.08,0.0,0.07
朋友们，我刚刚去做了美甲，太喜欢了！来看看我的新指甲吧！#美甲日常#,0.07,0.0,0.84,0.13,0.0,0.06
终于完成了一项大工作，真的是放松的感觉！感谢所有支持我的人，大家一起加油！#工作完成#,0.0,0.0,1.0,0.0,0.0,0.0
跟朋友们一起做了个大扫除，真的是超有成就感！干净整洁的环境，心情也变好了！#家庭时光#,0.0,0.0,1.0,0.0,0.0,0.0
最近迷上了新剧，每一集都让人欲罢不能！大家也来一起看吧！#剧集推荐#,0.0,0.0,0.62,0.3,0.0,0.07
看着比赛心里真是暖暖的，xyg战队的每一位都太棒了，继续加油！#xyg永远支持#,0.0,0.0,1.0,0.0,0.0,0.0
跟家人一起去郊外散步，放松心情，真的是一天最美好的时光！#家庭时光#,0.0,0.0,1.0,0.0,0.0,0.0
看完今天的比赛，心情激动！真是为xyg战队骄傲，每一场都在进步！#xyg加油#,0.0,0.0,1.0,0.0,0.0,0.0
