posts,angry,fear,happy,neutral,sad,surprise
最近终于找到了自己最喜欢的那首歌！《spotlight》简直是耳朵的最爱，听了好多遍都不腻🎶 #音乐推荐 #耳朵怀孕啦,0.0,0.0,0.86,0.0,0.15,0.07
今天去参加了团建活动，发现自己居然是南昌第[num]个ikun！看来我要继续努力，成为南昌的第一！🔥 #偶像 #粉丝日常,0.0,0.0,0.82,0.0,0.0,0.26
新歌《ride or die》真的是大爆炸！蔡[name]的音乐简直太有感觉了，跟以往风格完全不同，真的是太帅了！💥 #新歌推荐 #蔡[name],0.0,0.0,0.78,0.12,0.0,0.15
每次听到《ride or die》都能感受到蔡[name]的全力以赴，简直是为爱而生的音乐！🔥 #蔡[name] #音乐,0.0,0.0,0.91,0.1,0.0,0.06
刚听完蔡[name]的《spotlight》，真心觉得这首歌就是今年的最强！耳朵怀孕了🎧 #音乐分享 #蔡[name]粉丝,0.0,0.0,0.82,0.06,0.06,0.1
我在微博刷到了《ride or die》，真的是蔡[name]的巅峰之作！他的音乐总是让我心跳加速💓 #蔡[name]新歌 #迷妹心声,0.0,0.0,0.84,0.0,0.0,0.1
每当听到蔡[name]的新歌，我的心情都会瞬间变好！他的音乐就是能治愈我所有的烦恼！🎶 #蔡[name] #音乐疗愈,0.0,0.0,0.99,0.07,0.0,0.0
我的朋友们最近都在讨论蔡[name]的新歌，我也推荐给他们，大家都好喜欢！他的声音真的太有魅力了😍 #蔡[name] #歌迷推荐,0.0,0.0,0.93,0.0,0.05,0.0
终于等到蔡[name]的新歌《ride or die》上线了！这歌简直是撩人的节奏，听了完全停不下来🎧 #新歌上线 #蔡[name],0.0,0.0,0.74,0.08,0.09,0.19
又听了一遍《spotlight》，每次听都觉得蔡[name]的嗓音真的太独特了，越听越上瘾🎶 #蔡[name] #好歌推荐,0.0,0.0,0.99,0.0,0.06,0.0
今天我终于买到了蔡[name]的新专辑！打开封面那一刻，我简直太兴奋了！💿 #专辑收藏 #蔡[name],0.0,0.0,0.75,0.09,0.0,0.13
最近好像被蔡[name]的新歌《ride or die》洗脑了，越来越喜欢他的音乐了！🎶 #蔡[name] #歌曲推荐,0.0,0.0,0.77,0.16,0.08,0.0
今天在听蔡[name]的歌时，忽然觉得音乐对我来说是一种治愈，它让我忘记了所有的不开心🎧 #音乐疗愈 #蔡[name],0.0,0.0,0.73,0.17,0.18,0.06
