posts,angry,fear,happy,neutral,sad,surprise
刚遇到一个完全陌生的人，突然有种很熟悉的感觉，是不是人生的某个阶段曾经交织过？心里暖暖的😊,0.12,0.0,0.94,0.0,0.0,0.0
今天做了个超大的决定，虽然有点紧张，但也很激动！人生的每一步都不算白走，期待新的开始✨,0.08,0.0,1.0,0.0,0.0,0.0
又到了一年一度的大扫除，整理着每一件小物品的时候，竟然找到了好多开心的回忆❤️,0.0,0.0,0.9,0.0,0.0,0.16
最近一直在想，有时候能在朋友们之间感受到家的温暖，这种感觉太宝贵了💖,0.0,0.0,0.96,0.0,0.0,0.0
忙了一整天，终于在家里小歇片刻，喝着茶，听着音乐，平凡的日子真好😊,0.0,0.0,1.0,0.0,0.06,0.0
今天看到一个陌生的笑容，突然觉得这个世界也有好多暖心的瞬间，真好。🌸,0.0,0.0,0.98,0.0,0.0,0.0
也许是这段时间过得太快了，突然意识到，自己对未来的期待越来越多，也更希望珍惜当下的每一刻。,0.0,0.0,0.72,0.07,0.2,0.0
今天跟朋友们聊了一些开心的事，感觉好像又充电满满，友情的力量真是不可思议💪,0.0,0.0,1.0,0.0,0.0,0.08
有时候，生活中的一些小事让我感到特别安心，哪怕只是看到一朵路边的花开了🌼,0.0,0.0,0.83,0.14,0.12,0.0
跟爸妈一起做饭时，那种熟悉的温暖总能让我觉得，再忙再累也没有什么比家更重要的地方了🍲,0.0,0.0,0.92,0.0,0.17,0.0
这个天气真适合出去走一走，去看看不一样的风景，捕捉那些生活中的小确幸🌞,0.0,0.0,0.98,0.0,0.0,0.0
开始有点喜欢这种简单的生活，每天一点点进步，生活总是充满希望的🌱,0.12,0.0,1.0,0.0,0.0,0.0
今天去商场看到了一双漂亮的鞋子，尽管有点贵，但看到自己喜欢的东西总会心动，生活就是要有些小确幸🥿,0.0,0.0,1.0,0.0,0.0,0.0
做决定总是有些纠结，但最终想到的是：“做自己喜欢的，生活就不会遗憾！”🎉,0.0,0.0,0.72,0.0,0.12,0.09
刚看完一部电影，里面的台词触动了我，原来人活在这个世界上，最重要的是做自己内心真正想做的事🎬,0.0,0.0,0.66,0.19,0.06,0.17
看着朋友们结婚生子，心里充满了祝福，也在想自己未来的模样。生活总是充满惊喜吧😊,0.13,0.0,1.0,0.0,0.0,0.0
今天和同事开会，大家都特别努力，真的觉得身边有这么多积极向上的人，真好呀！💼,0.09,0.0,1.0,0.0,0.0,0.0
在香港的这段时间，每次听到北方口音，都有种特别亲切的感觉。也许这就是“家”的定义吧🏙️,0.0,0.0,0.63,0.37,0.0,0.1
今天突然想吃一份自己小时候最喜欢的点心，吃下去，心里满是温暖和怀念🥟,0.0,0.0,0.87,0.0,0.22,0.0
早晨的第一缕阳光，透过窗帘洒进屋里，真的觉得每一天都充满了无限可能。🌞,0.0,0.0,0.92,0.07,0.0,0.05
最近开始重拾运动的习惯，跑步让人心情变好，也让我觉得自己充满了力量🏃‍♀️,0.0,0.0,1.0,0.0,0.0,0.0
