posts,angry,fear,happy,neutral,sad,surprise
哇！看着篮球场上的男生穿背心打球，简直是青春的气息扑面而来！真的，帅爆了！💪🏀 #青春气息 #运动时光,0.0,0.0,0.91,0.0,0.0,0.1
我终于抢到五一的火车票了！可是，长沙的天气……真的能让我心情大打折扣！到底要不要去呀？！🌧️ #旅行计划 #长沙天气,0.14,0.05,0.21,0.0,0.43,0.23
我姐去了日本，富士山好美！心里真是超级羡慕啊！希望今年也能去旅行，走出国门看看世界！🌍✈️ #出国旅行 #富士山,0.0,0.0,0.89,0.0,0.06,0.06
哇！看到前同事换工作了，拿到了马歇尔音响作为年礼盒！好羡慕！我也去收了个，期待年后拆箱！🔊🎁 #职场收获 #年终礼物,0.0,0.0,0.93,0.0,0.0,0.11
终于抵达哈尔滨！虽然中转还挺麻烦，但看着雪景，心情还是挺美的！这座城市的冬天真是让人陶醉！❄️ #哈尔滨 #冬季旅行,0.0,0.0,1.0,0.0,0.05,0.0
哇！发现哈尔滨火了，车票都更难抢了！这座城市还真的是越来越受欢迎了！🚂❄️ #回家过年 #哈尔滨,0.0,0.0,0.74,0.0,0.0,0.32
我也测了MBTI！我和大勺都是ESFJ，他是ISFP！哈哈，终于找到了自我认知的乐趣！😄 #MBTI测试 #性格分析,0.0,0.0,0.85,0.08,0.08,0.12
冬天一到，猫咪就钻进被窝里，超级暖心！有了它的陪伴，真是感觉一整天都充满了温暖！🐱 #宠物时光 #冬日温暖,0.0,0.0,1.0,0.0,0.0,0.0
周末睡到自然醒，窗外阳光明媚，心情超级好！这种感觉真的是太幸福了！🌞 #阳光明媚 #周末休闲,0.0,0.0,1.0,0.0,0.0,0.0
万圣节的照片终于发出来啦！上海欢乐谷的帅哥美女们真的太美了，完全沉浸在节日的气氛中！🎃 #万圣节 #欢乐谷,0.0,0.0,0.91,0.0,0.0,0.16
我的同事们总是把房子推荐给我，哈哈，大家是不是都担心我还没房子？！真是被关心得满满的！🏠 #租房焦虑 #有人关心真好,0.0,0.11,1.0,0.0,0.05,0.0
最近心情有点复杂，明明想着休息，结果又开始疯狂改宣传图，压力满满！😖 #工作压力 #创意拼搏,0.17,0.13,0.29,0.05,0.46,0.0
突然发现，时间过得好快！已经是周四了，工作又忙得我有点喘不过气来，真希望能有点喘息的机会！😅 #周四焦虑 #职场压力,0.12,0.11,0.18,0.0,0.64,0.0
今天在茶室里遇到了一只金边的小边牧，鸳鸯眼好美！好久没见这么可爱的狗狗了！🐶 #宠物时光 #金边边牧,0.0,0.0,0.85,0.08,0.09,0.09
第一天上班的状态真是晕乎乎的，完全没有恢复过来，感觉节后工作和精神状态都需要好好调整！🧠 #节后第一天 #工作焦虑,0.25,0.16,0.0,0.0,0.73,0.0
十一假期发烧了，直接来医院打针！感觉整个假期都被病魔占据了，真的是太不尽兴了！😷 #生病期间 #十一假期,0.54,0.0,0.0,0.0,0.53,0.0
真的好羡慕那些情绪稳定、能冷静处理问题的伴侣！希望未来能遇到这样的男朋友，情绪管理真的很重要！💑 #情绪管理 #理想伴侣,0.0,0.0,0.94,0.0,0.0,0.0
第二次尝试茅台瑞幸的酱香拿铁，味道比第一次好很多，慢慢就喜欢上了！😋 #咖啡时间 #酱香拿铁,0.0,0.0,0.95,0.1,0.11,0.0
