posts,angry,fear,happy,neutral,sad,surprise
收到了一件超可爱的T恤，完美搭配我的日常风格！这件是从老代购店淘到的限量版，真的太幸福了，感觉自己捡到了宝 💖 #珍藏时刻,0.07,0.0,0.95,0.0,0.0,0.0
最近忙得不可开交，总是想画的东西一大堆，没时间完成。最想画的是我的朋友们，他们总是让我感到暖心💖 #为朋友画饼,0.1,0.0,0.87,0.0,0.14,0.0
太感动了！饭搭子给我送了好多吃的和礼物，感恩！我简直要把这些礼物好好珍藏，不舍得吃掉呀～💝 #感恩有你,0.0,0.0,0.92,0.0,0.0,0.0
迫不及待想试试新买的游戏盘了，希望能在里面发现新乐趣！#勇者斗恶龙 #游戏人生,0.0,0.0,0.84,0.07,0.0,0.0
今天的晨跑结束后，看到阳光洒在大街上，心情超好，感觉生活真美好 🌞 #清晨的宁静,0.0,0.0,1.0,0.0,0.0,0.0
最近想画一些像素版的游戏角色，感觉回到小时候的那些快乐时光，好怀念啊！#怀旧风,0.0,0.0,0.69,0.0,0.32,0.0
发现好多人都喜欢《勇者斗恶龙》，我也超爱！每次回想剧情都会有点小激动，真的是满满的回忆呀～ #游戏的魅力,0.0,0.0,0.99,0.0,0.0,0.0
无聊的时候总喜欢整理自己的收纳箱，想把所有小东西都好好整理起来，感觉整个家都井井有条了！📦 #整理癖,0.05,0.0,0.85,0.0,0.0,0.09
又收到了老师送的小礼物，心情好到爆炸！真的好爱这些小小的心意，温暖又治愈 💖 #小确幸,0.07,0.0,1.0,0.0,0.0,0.0
最近的天气变化好大，穿衣服真的要思考很久！希望明天可以阳光明媚，心情也能一如既往的好～ #天气万变 #春天,0.0,0.0,0.98,0.0,0.0,0.0
刚刚发现我竟然有好多未完成的画作，趁着周末好好把它们整理一下，真的很想给这些作品一个完美的结局 🎨 #创作时光,0.0,0.0,0.86,0.0,0.0,0.17
明天要去体检了，心里有点小紧张，但想想健康最重要，还是积极面对吧！希望一切顺利 🙏 #健康第一,0.08,0.09,0.93,0.0,0.06,0.0
玩《勇者斗恶龙》的时候，我总会不小心掉进游戏的世界，忘了时间的流逝，这感觉真好！ #沉浸式游戏体验,0.0,0.05,0.87,0.15,0.0,0.05
最近迷上了做手工，选布料的时候好纠结，怕选错了颜色，不过每次做出新作品时都特别有成就感 🎨 #手工爱好,0.0,0.05,0.87,0.0,0.05,0.0
总是忍不住买一些小玩意儿，今天又收到了新款背包，真的超级可爱！小小的心情得到了大大的满足 👜 #背包控,0.09,0.0,0.99,0.0,0.06,0.0
最近有点累，但每次看到自己画的画就觉得，所有的疲惫都不算什么！继续加油！ 💪 #坚持做自己喜欢的事,0.0,0.11,1.0,0.0,0.0,0.0
终于可以和朋友们一起出去吃饭了，聚会总是让人特别开心！大家的笑声让一切烦恼都消失了 🍽️ #友情万岁,0.06,0.0,1.0,0.0,0.0,0.0
看着自己画的像素图，突然觉得自己也可以有一份小小的成就感。或许，我们每个人都能从小事中找到喜悦 💖 #创造力,0.0,0.0,0.97,0.0,0.0,0.06
说实话，我的收藏癖越来越严重了，每次看到新的限定商品就忍不住买！真的好爱这些小东西啊 😆 #购物狂,0.08,0.0,0.77,0.0,0.17,0.07
今天和朋友聊到生活中的小确幸，发现我们每个人都在一点一滴中收获着幸福，真好！✨ #生活中的小美好,0.06,0.0,1.0,0.0,0.0,0.05
周末终于有时间休息了，趁着空闲整理了书架，看到一些久未翻阅的书，瞬间感受到书香的温暖 📚 #重拾旧爱,0.0,0.0,0.98,0.0,0.13,0.05
朋友给我送了好多她亲手做的小东西，真的超暖心！这种小小的手作，总能让我感受到满满的关爱 🧶 #手作心意,0.06,0.0,1.0,0.0,0.0,0.0
最近收到了好多来自朋友的关心和礼物，真的好感动，感觉自己被大家宠爱着 🥺 #感恩有你,0.0,0.0,0.99,0.0,0.0,0.0
刚刚看了电影，真的是温暖又感人的故事，和朋友们一起分享那些动人的瞬间，心情变得特别美好 🎬 #电影时光,0.13,0.0,0.97,0.0,0.0,0.0
收到了一件超级精美的游戏手办，真的是爱不释手！每次看着它，都会想到游戏中的冒险故事 💫 #游戏爱好,0.0,0.0,0.87,0.0,0.0,0.1
朋友送了我一个温暖的毛绒玩具，每次看到它就特别开心，感觉自己被治愈了～ 🧸 #治愈系,0.0,0.0,1.0,0.0,0.0,0.0
听说今天有个大展，我超期待！每次看到新奇有趣的艺术作品，都觉得人生充满无限可能 🎨 #艺术展,0.1,0.0,0.86,0.0,0.0,0.1
明天有个团体活动，想了想真的好期待能和大家一起度过这一天，感觉会特别有趣！ #团队活动,0.07,0.0,0.83,0.09,0.0,0.05
今天终于打通了游戏的某个关卡，兴奋到不行！这种小小的成就感真的是让人开心 🤩 #游戏通关,0.0,0.06,0.96,0.0,0.0,0.05
看见一位朋友最近画的插画好棒，真的好羡慕她的才华！希望我也能像她一样不断进步 💪 #艺术追求,0.0,0.0,1.0,0.0,0.0,0.0
昨天收到了一本书，内容超有意思，简直是我的心头好！每翻一页都好期待接下来的故事 📖 #书籍爱好者,0.05,0.0,0.95,0.0,0.0,0.05
朋友送我了一盒特别精致的巧克力，真的是爱心满满，忍不住笑出声！🥰 #甜蜜时刻,0.09,0.0,0.95,0.0,0.06,0.0
今天去买了些新的画材，打算好好尝试一下新风格，期待能画出更有创意的作品 🎨 #艺术新尝试,0.12,0.0,0.77,0.15,0.0,0.0
终于又有时间去健身了，锻炼完感觉整个人都精神多了！健康的身体才是最重要的 💪 #健康生活,0.0,0.0,0.99,0.0,0.08,0.0
每天收到朋友们的留言都特别开心，看到大家的关心，真的是一种幸福的感觉 💖 #友情永恒,0.05,0.0,1.0,0.0,0.0,0.0
看着自己收藏的游戏卡带，回忆涌上心头，感觉每一款都是那么值得珍藏～ 🎮 #游戏回忆,0.0,0.0,0.89,0.0,0.16,0.0
最近爱上了看美食博主的视频，真的有点饿了，打算明天做点新的菜式尝尝！🍴 #美食爱好,0.0,0.0,0.83,0.15,0.17,0.0
收到一份礼物，看到上面贴着我最喜欢的角色，真的好开心，感觉自己又有了一份小小的惊喜 🎁 #惊喜时刻,0.0,0.0,0.98,0.0,0.0,0.12
和朋友一起吃了一顿火锅，真的是大快朵颐！每次和朋友聚在一起，吃吃喝喝总是最开心的 🍲 #聚会时光,0.0,0.0,1.0,0.0,0.0,0.09
今天听了一个非常有意思的播客，感觉获得了不少灵感，决定开始尝试新的创意项目了 🎧 #启发时刻,0.12,0.0,0.78,0.12,0.0,0.0
