posts,angry,fear,happy,neutral,sad,surprise
最近一直在听rapeter的直播，感觉像上了一堂说唱课，不仅好笑，还有很多哲理，真的是要入坑了！🎤 #直播打卡 #入坑,0.0,0.07,0.71,0.0,0.11,0.08
楼上装修真的是让我崩溃，闹钟一响就开始，完全没办法调休，感觉自己成了装修工人的伙伴。🛠️ #装修烦恼 #周末无法安静,0.56,0.09,0.0,0.0,0.52,0.0
真的好想看rapeter的巡演，能不能来厦门啊，现场一定超级震撼！💥 #巡演期待 #rapeter,0.0,0.08,0.87,0.0,0.0,0.08
弹吉他的时候，每次过了半小时手指就痛得不行，不知道是我手痛感太强还是吉他有问题，真是难受！🎸 #吉他烦恼 #手指痛,0.12,0.14,0.0,0.0,0.84,0.0
这三天连加班两天，终于把昨天的工作做完了，累得大脑完全停机，根本不想动！😩 #加班生活 #工作压力,0.15,0.09,0.09,0.0,0.66,0.0
为了发朋友圈，合照、拍立得、CCD照片，竖的横的拼一起真的是好难看，居然不敢分开发！📸 #朋友圈烦恼 #照片选择,0.27,0.21,0.0,0.1,0.47,0.35
今天已经哭了三次了，大家都要离开，真的是好不舍，感觉还想和他们再一起打一次台球！🎱 #告别情绪 #舍不得,0.0,0.11,0.0,0.1,1.0,0.0
看了朋友写的信，看到署名开始想哭，真的觉得我的朋友们太好啦，他们包容我，听我叽叽喳喳！💌 #朋友情谊 #感动时刻,0.0,0.0,0.92,0.0,0.13,0.0
一年前不敢露齿笑，今天拍照时已经很自然了，拍得越多，表情越自然！📸 #成长 #自信点滴,0.0,0.0,1.0,0.0,0.0,0.0
今天真的是懒得要死，带了假发到学校，结果忘带假发网，简直要疯了，谁能救救我！🦱 #忘带物品 #假发困扰,0.74,0.17,0.0,0.0,0.35,0.0
真的好喜欢[name]！他笑一笑我就完全融化了，超级想见到他啊啊啊！😳 #偶像迷 #超级喜欢,0.0,0.0,1.0,0.0,0.0,0.0
为什么刚上班八天就要负责项目了？我明明计划好先拖一下再做，结果五点半才开始做，真是自作自受。📅 #职场焦虑 #拖延症,0.66,0.0,0.0,0.06,0.38,0.09
买了个富士一次性胶片机，打算记录学校的风景和我可爱的朋友们，开始了胶片时代的旅行！📷 #摄影日记 #胶片机,0.0,0.0,0.76,0.08,0.13,0.08
今天终于在学校唱了歌，还有学妹夸我，真的太开心了！感觉自己在舞台上找到了自信！🎤 #校园活动 #唱歌快乐,0.13,0.0,1.0,0.0,0.0,0.0
