posts,angry,fear,happy,neutral,sad,surprise
今天为孩子们送去了六一儿童节的祝福，熊梓淇也在给我们送上节日的快乐！希望你们度过一个开心又充满笑声的节日！🎉 #儿童节快乐 #熊梓淇,0.06,0.0,0.99,0.07,0.0,0.0
心情有点低落，但知道自己要为考试努力了，不想让自己失望，尽管这一路真的不轻松，但我会坚持到底！💪 #期末考 #奋斗的你,0.0,0.08,0.98,0.0,0.0,0.0
哎，期末考真的太压抑了，为什么不能一夜暴富，轻松度过呢？还是要靠自己啊，努力一点点积累！📚 #学习压力 #学生日常,0.18,0.09,0.19,0.0,0.54,0.0
忽然发现，在今天的直播里，每一首歌听得我都热血沸腾，真的是要入坑了！好想在现场看到更多的精彩演出！🎶 #直播打卡 #偶像追逐,0.0,0.05,0.67,0.05,0.15,0.06
太心疼我的吉他了，每次弹完就感觉手指痛到不行，真的怀疑我的吉他是不是被做成烧火棍了？！🎸 #吉他烦恼 #练习的痛,0.25,0.2,0.0,0.0,0.76,0.0
有时候真觉得做小组作业比自己一个人做工作还要累，头脑完全停止运转，好想快点完成！📝 #作业压力 #小组作业,0.25,0.13,0.0,0.0,0.69,0.0
听到身边的人谈论毕业，才意识到时间过得好快，突然就到了必须毕业的时刻，感觉自己还没准备好呢。🎓 #毕业季 #人生进程,0.08,0.12,0.4,0.0,0.33,0.11
太喜欢在学校最后的时光，每天都和最好的朋友一起度过，不管是开心还是难过，我们都会一起走过。👯‍♀️ #朋友 #校园时光,0.0,0.0,1.0,0.0,0.0,0.05
最近发现自己真的不喜欢做作业，尤其是小组作业，真的很累，而且完全没有成就感，大家都能理解吗？📚 #作业烦恼 #心累,0.16,0.0,0.0,0.0,0.88,0.0
真的好不想离开这里，毕业之后大家都散开了，我怕自己一个人会变得孤单，但是也只能面对。🌱 #毕业感伤 #朋友再见,0.0,0.09,0.07,0.07,0.99,0.0
朋友送的礼物真的让我超级感动，每一份都满载着他们的心意，感觉自己是世界上最幸福的人！🎁 #朋友 #感恩时光,0.0,0.0,1.0,0.0,0.0,0.0
最近太忙了，真的好想有个机会可以放松一下，享受生活，去旅行，去吃美食，去看想看的演出！✈️ #生活压力 #放松一下,0.09,0.05,0.79,0.0,0.18,0.0
工作压力好大，真的有时候感到喘不过气，感觉自己快要崩溃了，希望自己能坚强一点，不要轻易放弃。💼 #工作压力 #加油,0.1,0.16,0.5,0.0,0.49,0.0
看到朋友晒的旅行照片，我真是又羡慕又嫉妒，什么时候我才能有时间去到那些地方，去做自己想做的事？🌍 #旅行 #梦想,0.0,0.13,0.51,0.0,0.24,0.12
每天都想买一堆衣服，可是钱不够，怎么办啊？这个世界真是太多诱惑了，我得控制自己！👗 #购物欲望 #理智消费,0.28,0.06,0.2,0.12,0.37,0.0
终于决定休息一下，放下所有的工作和烦恼，去看一场电影，放松一下心情，真的好久没有这么轻松过了！🍿 #休闲时光 #电影,0.0,0.0,0.87,0.0,0.12,0.11
不知道是不是我太懒了，今天打算去健身房，结果一到那就开始找借口不去，真的很没动力！💪 #健身计划 #拖延症,0.33,0.11,0.0,0.0,0.68,0.0
