posts,angry,fear,happy,neutral,sad,surprise
蚊子简直是天敌，每次晚上都能飞到我耳边，真是想把它打成飞灰！一宿没睡好，早上整个人都崩溃了😱,0.85,0.07,0.0,0.0,0.11,0.0
讨厌一些小孩毫无边界感，乱拿东西还不说一声，真的是太不懂事了🙄,1.0,0.0,0.0,0.0,0.0,0.0
长月烬明真的是我最近的追剧心头好啊！这部剧真是上头，看完一集就想等下一集，超级喜欢！,0.0,0.0,1.0,0.0,0.0,0.0
天气热得让我怀疑人生，每天洗澡都不止一次，真是不能理解那些不洗澡的，特别是生理期😓,0.63,0.14,0.0,0.0,0.2,0.15
我小时候的碟片好像有一只小猪被卖了，那个经理真的是个大肚皮经理哈哈😂,0.07,0.0,0.84,0.05,0.0,0.22
怎么那么多人以为我是T？明明就是穿个中性风而已，我是小女孩呀！😅,0.22,0.0,0.06,0.06,0.0,0.59
下辈子能不能当个男人呀？女生生理期真的太痛苦了，连穿个卫生巾都这么麻烦，男生真的太幸福了吧！,0.31,0.0,0.4,0.0,0.47,0.0
谁跟主管对骂了好久，笑死我了，一直从上班骂到下班，真是没谁了🤣,0.84,0.0,0.13,0.0,0.18,0.07
疫情那会儿时间多得很，结果却没出去玩，真是后悔了！等到现在才发现，原来出游还得排队买票，生活就是这样嘲讽人啊😭,0.78,0.0,0.0,0.0,0.28,0.13
每次看到可爱的jellycat，我的心就不行了！这下个月发工资必买！😻,0.06,0.0,0.69,0.0,0.21,0.06
我和同事之间的差距就是，搬桌子这事我能自己搞定，根本不需要找壮士帮忙！💪,0.39,0.0,0.22,0.2,0.17,0.16
刚看完电影《彷徨之刃》，对里面的角色真是气到不行！人情世故都不懂，真让人心塞😤,0.86,0.0,0.0,0.0,0.19,0.0
麦当劳开了新店，今天试了十元套餐的麦香鱼，超好吃，爱了！🍔,0.0,0.0,1.0,0.0,0.08,0.06
每次在闲鱼上找到特别好看的二手衣，我就忍不住买，结果已经有五双Birkenstock了😅,0.05,0.0,0.48,0.11,0.18,0.24
每次挑花都特别讲究，选完摆好位置再让老板包，简直是为美而生！🌸,0.0,0.0,0.86,0.14,0.0,0.15
杭州的甜品店美到不可思议，简直像到了京都！我已经准备好再次打高铁去探店了🚄,0.0,0.0,0.86,0.0,0.0,0.26
我的超能力就是不容易晒黑，不管去哪里，都是白白的！同事说我天生就有这份气质！😎,0.0,0.0,0.94,0.06,0.0,0.11
茉酸奶终于回来了，我真是要疯狂表白它！口感简直完美，喝了都想再来一瓶🥤,0.0,0.0,0.94,0.0,0.06,0.1
山西之行让我发现了家乡的好，真的为南京人感到骄傲！每次跟别人说我是南京人，大家都夸赞！💖,0.0,0.0,1.0,0.0,0.0,0.0
上班抢票真的是累死我了，五一十一终于有了机会出去玩，票抢完心满意足，终于能去悬空寺啦！🎫,0.0,0.0,0.9,0.0,0.22,0.0
