posts,angry,fear,happy,neutral,sad,surprise
今晚去超市看到好多人买泡面，心里想：“是的，我就是跟大家一样，偶尔需要这种温暖的安慰。” #生活小确幸#,0.0,0.0,0.92,0.0,0.0,0.09
每次看大家发自拍时，我就忍不住想：“哎呀，大家怎么都这么有气质！”自己拍的时候就想：“还是算了，别吓到大家。” 😂,0.1,0.26,0.06,0.1,0.2,0.27
刚刚帮同学订了咖啡，看到他们笑得那么开心，瞬间觉得：原来，能让别人高兴就是最好的奖励呀！,0.0,0.0,1.0,0.0,0.0,0.06
今天有个朋友说，想做的事还没开始，我就差点没控制住自己的“鼓励模式”：“快去吧！做了才知道值不值得！” 😄,0.13,0.0,0.36,0.13,0.4,0.0
还记得小时候每天都特别期待妈妈做的晚餐，那些滋味真的太让人安心了。感谢有这样温暖的记忆！ #家的味道#,0.0,0.05,1.0,0.0,0.0,0.06
今天看到一个小朋友的绘画作品，简直太可爱了！“你怎么这么有才啊？”我忍不住夸了一下，自己也感觉开心起来。,0.0,0.0,0.94,0.0,0.0,0.0
和朋友们一起吃饭，总是聊到各种奇奇怪怪的事，突然发现，能和你们一起笑真是太幸福了！#朋友真好#,0.05,0.0,1.0,0.0,0.0,0.06
听到朋友说他有点压力，我一下子就想给他抱抱。压力太大了就需要给自己找个出口呀，大家别硬撑啊！ #拥抱也是疗愈#,0.09,0.07,0.69,0.12,0.23,0.0
今天从阳台上看到一对情侣在街头走，我突然想：“是不是我也该找个人一起散步呢？” #浪漫心情#,0.0,0.0,0.67,0.15,0.2,0.18
那天在公交车上看到一位老奶奶站着，心里默默祈祷：“希望每个人都能在车上有座位。”#温暖的社会#,0.0,0.0,0.78,0.1,0.11,0.0
听说某个明星去做慈善了，心里一暖，觉得大家不仅在台前闪亮，背后做的事也太有意义了。#榜样#,0.0,0.0,0.94,0.0,0.0,0.0
今日份心情：看到朋友们都过得很好，我也有了点动力去做自己喜欢的事情。#一起加油#,0.0,0.0,1.0,0.0,0.0,0.0
今天照镜子时想，大家是不是都不太注意这些小细节，但其实每个人的笑容都是最好的装饰呀！😄,0.0,0.0,0.76,0.13,0.06,0.16
和闺蜜聊起她的烦恼，我一边安慰她，一边心里想：“这真的是我可以做得最好的一件事了。” #朋友间的支持#,0.0,0.0,0.96,0.0,0.0,0.0
一边吃着妈妈做的饭，一边想着有些小小的忧虑，突然觉得，好像只有在家里最安心。#家人的力量#,0.0,0.12,0.79,0.0,0.17,0.05
突然想到，自己最幸福的时候，就是和朋友们一起庆祝一件小事，哪怕是一起吃了个冰淇淋。#小确幸#,0.0,0.0,0.92,0.0,0.0,0.1
听到朋友说最近在忙工作，心里默默祈祷：“希望你能保持好状态，别忘了照顾自己。” #互相关心#,0.0,0.0,0.77,0.08,0.17,0.0
最近忙得要命，发现自己还是最喜欢和身边的人一起度过的时光，工作固然重要，但放松更重要。 #放松一下#,0.0,0.0,0.84,0.0,0.11,0.06
今天和朋友一起逛街，试穿了好多衣服，最后买了条最舒服的裙子。穿上它，立刻心情大好！#衣服也能治愈#,0.0,0.0,0.98,0.0,0.0,0.0
午休的时候，突然想起了小时候的朋友们，真希望我们都能有时间再聚一次，聊聊过去，聊聊现在。#怀念时光#,0.0,0.0,0.4,0.0,0.54,0.05
今天在咖啡店看到很多陌生面孔，心想：“如果大家都能微笑，世界会不会更温暖一些？”#微笑的力量#,0.0,0.0,0.77,0.09,0.12,0.09
参加了一个小型的聚会，突然发现，大家其实都有自己的小故事，真希望能更多了解他们的世界。#彼此了解#,0.0,0.0,0.75,0.06,0.13,0.15
今天跟同事开会，结果他说了个笑话，大家都笑得停不下来。感觉，工作也能有这种轻松的时刻，真不错！#轻松工作#,0.0,0.0,1.0,0.0,0.0,0.11
最近尝试着学习新菜谱，结果煮的第一道菜味道超好！这种小小的成就感，简直太满足了！#厨房小达人#,0.0,0.0,0.92,0.0,0.0,0.06
忽然发现，自己真的好幸运，能和身边这么多善良又有趣的人在一起。#珍惜每一份缘分#,0.0,0.0,0.94,0.0,0.0,0.07
今天给妈妈打了个电话，听到她的声音，我的心情瞬间变得好起来，原来家人的声音真是治愈的良药。#妈妈的声音#,0.0,0.0,0.82,0.07,0.09,0.13
最近有点忙，连和朋友们聊天的时间都没有了，决定放下工作，和他们约个小聚。#朋友最重要#,0.0,0.0,0.62,0.22,0.29,0.0
看完一部电影，真心想告诉大家：“生活不一定要很复杂，简单的开心就好。”#简简单单的幸福#,0.0,0.0,0.91,0.0,0.0,0.06
一直以来觉得自己不擅长做演讲，今天终于鼓起勇气在团队面前发言了，竟然还挺顺利，真有点惊讶！#突破自我#,0.0,0.16,0.62,0.0,0.0,0.47
我真的很感激身边总有人关心我，提醒我照顾好自己，真希望自己也能成为这样的人。#感恩的心#,0.0,0.07,1.0,0.0,0.0,0.0
今天去超市买了好多蔬菜，想做一顿健康的晚餐。突然想到：如果能每天都这么享受生活该有多好！#享受生活#,0.0,0.0,0.99,0.0,0.0,0.09
和朋友们聊起未来，我说：“我相信我们都能过上自己想要的生活！”大家都笑了，但其实我很认真的。#一起加油#,0.0,0.0,1.0,0.0,0.0,0.0
昨天和同事一起吃饭，讨论了工作上的小困惑，突然觉得，大家都有自己的不易，我们应该更互相支持。#同事的力量#,0.0,0.0,0.94,0.0,0.0,0.0
最近在考虑是不是应该去学一些新技能，感觉不断提升自己才会有更多机会，大家怎么看呢？#自我提升#,0.07,0.05,0.45,0.3,0.0,0.14
看到网上一篇文章说，生活中的小小温暖真的很重要，今天我也尝试给周围的人带来一点温暖，觉得挺有意义的。#温暖他人#,0.0,0.0,0.96,0.0,0.0,0.0
今天早上看到太阳从窗户照进来，突然觉得，一天的开始总是这么充满希望！#朝气蓬勃#,0.0,0.0,1.0,0.0,0.0,0.0
发现自己每天忙碌得有点忘了自己想要什么，决定抽时间静下心来，给自己一些空间。#反思与成长#,0.0,0.0,0.58,0.19,0.27,0.0
突然想起小时候的夏天，总是和朋友们一起在街角打闹，那个时候的快乐真的很简单。#怀念童年#,0.0,0.0,0.75,0.0,0.23,0.09
今天陪朋友走了一段路，走着走着就聊起了未来，突然觉得，朋友真的在这个世界上最重要！#珍惜身边人#,0.0,0.0,0.96,0.0,0.06,0.0
发现自己越来越喜欢安静的时光，哪怕是独自一人，静静地听音乐，也能获得很多力量。#内心的平静#,0.0,0.0,0.93,0.05,0.0,0.0
和朋友一起去游乐场，虽然天气有点热，但看到他们笑得开心，我也觉得特别满足！#友谊长存#,0.0,0.0,1.0,0.0,0.08,0.0
最近特别喜欢跑步，虽然很累，但每次跑完后，感觉整个人都轻松了。#运动让人快乐#,0.0,0.0,1.0,0.0,0.0,0.0
看到一篇文章说：“最好的朋友就是那个能和你一起做傻事的人。”真的是这样！ #一起做傻事#,0.14,0.0,0.41,0.15,0.16,0.16
昨天无意间听到一个孩子对妈妈说：“妈妈你是我的超级英雄！”心里瞬间感动，爱和温暖真的能改变一切。#母爱的力量#,0.0,0.0,0.99,0.0,0.0,0.05
今天跟家人去散步，突然觉得家人真的是最好的陪伴，不论发生什么，我们都会在一起。#家的温暖#,0.0,0.0,1.0,0.0,0.0,0.0
听朋友说，自己买的那条裙子穿得好看，我心里也觉得特别开心，原来看见别人开心，我也会开心！#别人开心我也开心#,0.08,0.0,0.98,0.0,0.0,0.12
今天和同事讨论了一下工作中的小目标，大家都挺积极的。感觉有了目标，工作也不那么难了。#设定目标#,0.0,0.0,0.74,0.2,0.0,0.0
发现自己越来越在乎身边人的感受，可能这就是所谓的“长大吧”。#成长的过程#,0.0,0.06,0.52,0.07,0.34,0.12
听到一个同学的烦恼，我忍不住想：“别担心，一切都会变好的！”大家都需要有人这样提醒自己。#给自己加油#,0.0,0.09,0.89,0.0,0.0,0.0
今天吃到了超好吃的冰淇淋，真的好满足！生活中的小快乐，就是这么简单！#简单幸福#,0.0,0.0,1.0,0.0,0.0,0.05
